date, totalcases
2/15/2020,0
2/16/2020,0
2/17/2020,0
2/18/2020,0
2/19/2020,0
2/20/2020,0
2/21/2020,0
2/22/2020,0
2/23/2020,0
2/24/2020,0
2/25/2020,1
2/26/2020,1
2/27/2020,1
2/28/2020,1
2/29/2020,2
3/1/2020,2
3/2/2020,2
3/3/2020,2
3/4/2020,3
3/5/2020,8
3/6/2020,13
3/7/2020,19
3/8/2020,25
3/9/2020,25
3/10/2020,34
3/11/2020,52
3/12/2020,77
3/13/2020,151
3/14/2020,151
3/15/2020,200
3/16/2020,234
3/17/2020,347
3/18/2020,531
3/19/2020,643
3/20/2020,975
3/21/2020,1184
3/22/2020,1554
3/23/2020,1934
3/24/2020,2259
3/25/2020,2568
3/26/2020,3002
3/27/2020,3437
3/28/2020,3927
3/29/2020,4281
3/30/2020,4657
3/31/2020,5749
4/1/2020,6918
4/2/2020,8088
4/3/2020,9244
4/4/2020,10416
4/5/2020,11314
4/6/2020,12248
4/7/2020,14109
4/8/2020,16276
4/9/2020,18244
4/10/2020,19897
4/11/2020,21076
4/12/2020,22313
4/13/2020,23558
4/14/2020,25400
4/15/2020,28767
4/16/2020,30852
4/17/2020,33868
4/18/2020,36925
4/19/2020,38868
4/20/2020,40969
4/21/2020,43319
4/22/2020,46011
4/23/2020,49768
4/24/2020,53290
4/25/2020,59526
4/26/2020,63209
4/27/2020,66871
4/28/2020,73305
4/29/2020,79803
4/30/2020,85855
5/1/2020,92622
5/2/2020,97096
5/3/2020,101710
5/4/2020,108869
5/5/2020,115354
5/6/2020,127317
5/7/2020,136449
5/8/2020,146706
5/9/2020,156932
5/10/2020,163607
5/11/2020,170087
5/12/2020,178593
5/13/2020,190213
5/14/2020,204051
5/15/2020,219441
5/16/2020,234443
5/17/2020,242426
5/18/2020,256794
5/19/2020,273403
5/20/2020,294995
5/21/2020,312657
5/22/2020,332738
5/23/2020,349338
5/24/2020,365649
5/25/2020,378773
5/26/2020,394551
5/27/2020,416976
5/28/2020,441262
5/29/2020,470953
5/30/2020,501223
5/31/2020,517724
6/1/2020,532362
6/2/2020,559777
6/3/2020,587242
6/4/2020,619310
6/5/2020,649614
6/6/2020,677349
6/7/2020,695828
6/8/2020,714858
6/9/2020,746229
6/10/2020,779514
6/11/2020,810149
6/12/2020,834538
6/13/2020,855549
6/14/2020,872730
6/15/2020,896536
6/16/2020,934023
6/17/2020,965674
6/18/2020,988853
6/19/2020,1044371
6/20/2020,1076118
6/21/2020,1093063
6/22/2020,1117557
6/23/2020,1157912
6/24/2020,1199135
6/25/2020,1240036
6/26/2020,1287206
6/27/2020,1323294
6/28/2020,1352771
6/29/2020,1378146
6/30/2020,1416355
7/1/2020,1461490
7/2/2020,1509742
7/3/2020,1551965
7/4/2020,1587196
7/5/2020,1613552
7/6/2020,1635158
7/7/2020,1684014
7/8/2020,1725787
7/9/2020,1768934
7/10/2020,1814422
7/11/2020,1851100
7/12/2020,1876605
7/13/2020,1898510
7/14/2020,1941996
7/15/2020,1981923
7/16/2020,2025997
7/17/2020,2060146
7/18/2020,2086843
7/19/2020,2111631
7/20/2020,2133501
7/21/2020,2178639
7/22/2020,2244342
7/23/2020,2302746
7/24/2020,2361320
7/25/2020,2409823
7/26/2020,2433421
7/27/2020,2457131
7/28/2020,2498530
7/29/2020,2569795
7/30/2020,2628391
7/31/2020,2681193
8/1/2020,2724008
8/2/2020,2748948
8/3/2020,2767037
8/4/2020,2823763
8/5/2020,2878753
8/6/2020,2933860
8/7/2020,2983639
8/8/2020,3030203
8/9/2020,3052540
8/10/2020,3074550
8/11/2020,3129780
8/12/2020,3188185
8/13/2020,3247663
8/14/2020,3297211
8/15/2020,3336366
8/16/2020,3358855
8/17/2020,3382022
8/18/2020,3430931
8/19/2020,3479744
8/20/2020,3524678
8/21/2020,3556244
8/22/2020,3602712
8/23/2020,3625926
8/24/2020,3647480
8/25/2020,3694702
8/26/2020,3742797
8/27/2020,3785524
8/28/2020,3833905
8/29/2020,3868457
8/30/2020,3883888
8/31/2020,3932750
9/1/2020,3974873
9/2/2020,4023777
9/3/2020,4068755
9/4/2020,4114661
9/5/2020,4146034
9/6/2020,4160722
9/7/2020,4170968
9/8/2020,4188394
9/9/2020,4222793
9/10/2020,4263450
9/11/2020,4307911
9/12/2020,4339969
9/13/2020,4354648
9/14/2020,4373843
9/15/2020,4408792
9/16/2020,4446388
9/17/2020,4482345
9/18/2020,4522559
9/19/2020,4553645
9/20/2020,4570018
9/21/2020,4585558
9/22/2020,4621007
9/23/2020,4653634
9/24/2020,4685942
9/25/2020,4718795
9/26/2020,4744473
9/27/2020,4758746
9/28/2020,4774854
9/29/2020,4807022
9/30/2020,4840477
10/1/2020,4876320
10/2/2020,4909505
10/3/2020,4934245
10/4/2020,4942748
10/5/2020,4968099
10/6/2020,4998723
10/7/2020,5030302
10/8/2020,5057635
10/9/2020,5085441
10/10/2020,5120285
10/11/2020,5123442
10/12/2020,5131918
10/13/2020,5143397
10/14/2020,5170221
10/15/2020,5199884
10/16/2020,5230629
10/17/2020,5253549
10/18/2020,5264592
10/19/2020,5280463
10/20/2020,5304285
10/21/2020,5330262
10/22/2020,5362425
10/23/2020,5385570
10/24/2020,5411286
10/25/2020,5424262
10/26/2020,5441781
10/27/2020,5471298
10/28/2020,5500311
10/29/2020,5527107
10/30/2020,5550362
10/31/2020,5566529
11/1/2020,5576685
11/2/2020,5585233
11/3/2020,5598225
11/4/2020,5622173
11/5/2020,5645620
11/6/2020,5663969
11/7/2020,5685143
11/8/2020,5695756
11/9/2020,5707472
11/10/2020,5733131
11/11/2020,5781122
11/12/2020,5815956
11/13/2020,5852006
11/14/2020,5881634
11/15/2020,5895846
11/16/2020,5909569
11/17/2020,5944782
11/18/2020,5980627
11/19/2020,6016513
11/20/2020,6053795
11/21/2020,6086599
11/22/2020,6105318
11/23/2020,6122014
11/24/2020,6155646
11/25/2020,6201349
11/26/2020,6239232
11/27/2020,6273200
11/28/2020,6325413
11/29/2020,6350018
11/30/2020,6371676
12/1/2020,6424215
12/2/2020,6472608
12/3/2020,6523757
12/4/2020,6571456
12/5/2020,6613918
12/6/2020,6640428
12/7/2020,6665090
12/8/2020,6713207
12/9/2020,6767713
12/10/2020,6821437
12/11/2020,6874502
12/12/2020,6919031
12/13/2020,6940546
12/14/2020,6968119
12/15/2020,7013218
12/16/2020,7082037
12/17/2020,7151253
12/18/2020,7203930
12/19/2020,7253447
12/20/2020,7279034
12/21/2020,7304798
12/22/2020,7360908
12/23/2020,7407825
12/24/2020,7467069
12/25/2020,7490164
12/26/2020,7507506
12/27/2020,7526088
12/28/2020,7548820
12/29/2020,7606366
12/30/2020,7662531
12/31/2020,7718847
1/1/2021,7743765
1/2/2021,7759867
1/3/2021,7777489
1/4/2021,7798600
1/5/2021,7856503
1/6/2021,7919513
1/7/2021,8007233
1/8/2021,8061922
1/9/2021,8122467
1/10/2021,8152594
1/11/2021,8180965
1/12/2021,8243244
1/13/2021,8305541
1/14/2021,8374702
1/15/2021,8443342
1/16/2021,8506272
1/17/2021,8538008
1/18/2021,8562458
1/19/2021,8626444
1/20/2021,8691055
1/21/2021,8751468
1/22/2021,8807233
1/23/2021,8868826
1/24/2021,8897501
1/25/2021,8926194
1/26/2021,8990303
1/27/2021,9054682
1/28/2021,9115451
1/29/2021,9174603
1/30/2021,9232557
1/31/2021,9260640
2/1/2021,9286241
2/2/2021,9342932
2/3/2021,9397036
2/4/2021,9455342
2/5/2021,9507090
2/6/2021,9556215
2/7/2021,9583383
2/8/2021,9609362
2/9/2021,9661526
2/10/2021,9722265
2/11/2021,9776699
2/12/2021,9826516
2/13/2021,9872482
2/14/2021,9896047
2/15/2021,9928590
2/16/2021,9984307
2/17/2021,10042057
2/18/2021,10093836
2/19/2021,10145331
2/20/2021,10203242
2/21/2021,10232600
2/22/2021,10262291
2/23/2021,10325862
2/24/2021,10391739
2/25/2021,10460119
2/26/2021,10524511
2/27/2021,10584414
2/28/2021,10618795
3/1/2021,10657517
3/2/2021,10716214
3/3/2021,10791120
3/4/2021,10865935
3/5/2021,10941806
3/6/2021,11009783
3/7/2021,11090361
3/8/2021,11126860
3/9/2021,11196906
3/10/2021,11278419
3/11/2021,11357263
3/12/2021,11441882
3/13/2021,11513331
3/14/2021,11557849
3/15/2021,11600346
3/16/2021,11685042
3/17/2021,11776473
3/18/2021,11864228
3/19/2021,11954232
3/20/2021,12028207
3/21/2021,12076395
3/22/2021,12130220
3/23/2021,12215792
3/24/2021,12306956
3/25/2021,12405173
3/26/2021,12488296
3/27/2021,12571902
3/28/2021,12616627
3/29/2021,12659684
3/30/2021,12746971
3/31/2021,12836765
4/1/2021,12926819
4/2/2021,12996990
4/3/2021,13038593
4/4/2021,13070294
4/5/2021,13108899
4/6/2021,13192334
4/7/2021,13283909
4/8/2021,13373796
4/9/2021,13463479
4/10/2021,13533580
4/11/2021,13571487
4/12/2021,13610728
4/13/2021,13691440
4/14/2021,13767975
4/15/2021,13849061
4/16/2021,13925847
4/17/2021,13992131
4/18/2021,14035461
4/19/2021,14070459
4/20/2021,14144155
4/21/2021,14216584
4/22/2021,14266349
4/23/2021,14332813
4/24/2021,14403429
4/25/2021,14436349
4/26/2021,14466353
4/27/2021,14542975
4/28/2021,14620783
4/29/2021,14690369
4/30/2021,14764053
5/1/2021,14824623
5/2/2021,14853980
5/3/2021,14890959
5/4/2021,14960936
5/5/2021,15037214
5/6/2021,15110385
5/7/2021,15189359
5/8/2021,15253198
5/9/2021,15287805
5/10/2021,15317469
5/11/2021,15389093
5/12/2021,15466361
5/13/2021,15542125
5/14/2021,15627275
5/15/2021,15697173
5/16/2021,15734492
5/17/2021,15768566
5/18/2021,15843566
5/19/2021,15923915
5/20/2021,16007941
5/21/2021,16086174
5/22/2021,16158063
5/23/2021,16194650
5/24/2021,16232672
5/25/2021,16308139
5/26/2021,16388240
5/27/2021,16455548
5/28/2021,16506559
5/29/2021,16586142
5/30/2021,16630130
5/31/2021,16663152
6/1/2021,16741806
6/2/2021,16837143
6/3/2021,16921314
6/4/2021,16960381
6/5/2021,17026554
6/6/2021,17066780
6/7/2021,17106116
6/8/2021,17159209
6/9/2021,17247102
6/10/2021,17337712
6/11/2021,17424564
6/12/2021,17501089
6/13/2021,17538665
6/14/2021,17580124
6/15/2021,17669920
6/16/2021,17756571
6/17/2021,17831638
6/18/2021,17930617
6/19/2021,18012963
6/20/2021,18057750
6/21/2021,18100227
6/22/2021,18187855
6/23/2021,18302896
6/24/2021,18376334
6/25/2021,18456372
6/26/2021,18521202
6/27/2021,18555470
6/28/2021,18583811
6/29/2021,18649413
6/30/2021,18695888
7/1/2021,18759785
7/2/2021,18825716
7/3/2021,18880992
7/4/2021,18909378
7/5/2021,18932662
7/6/2021,18995920
7/7/2021,19050659
7/8/2021,19105124
7/9/2021,19163571
7/10/2021,19212769
7/11/2021,19234280
7/12/2021,19251867
7/13/2021,19297640
7/14/2021,19356037
7/15/2021,19409539
7/16/2021,19455329
7/17/2021,19489818
7/18/2021,19524093
7/19/2021,19539430
7/20/2021,19567448
7/21/2021,19622434
7/22/2021,19672253
7/23/2021,19717911
7/24/2021,19756168
7/25/2021,19774376
7/26/2021,19793458
7/27/2021,19835049
7/28/2021,19883703
7/29/2021,19925738
7/30/2021,19966821
7/31/2021,20004567
8/1/2021,20025159
8/2/2021,20040368
8/3/2021,20073082
8/4/2021,20113718
8/5/2021,20153946
8/6/2021,20196289
8/7/2021,20239509
8/8/2021,20253462
8/9/2021,20265987
8/10/2021,20301385
8/11/2021,20337329
8/12/2021,20373377
8/13/2021,20407458
8/14/2021,20438736
8/15/2021,20452753
8/16/2021,20467705
8/17/2021,20506089
8/18/2021,20547284
8/19/2021,20583432
8/20/2021,20617467
8/21/2021,20645978
8/22/2021,20660445
8/23/2021,20673605
8/24/2021,20704754
8/25/2021,20735416
8/26/2021,20766575
8/27/2021,20794039
8/28/2021,20818846
8/29/2021,20832114
8/30/2021,20842625
8/31/2021,20868322
9/1/2021,20894785
9/2/2021,20921398
9/3/2021,20946856
9/4/2021,20968754
9/5/2021,20981725
9/6/2021,20990919
9/7/2021,21004624
9/8/2021,21019117
9/9/2021,21050143
9/10/2021,21066163
9/11/2021,21080539
9/12/2021,21091200
9/13/2021,21097874
9/14/2021,21111339
9/15/2021,21126184
9/16/2021,21160741
9/17/2021,21194406
9/18/2021,21217181
9/19/2021,21226633
9/20/2021,21234512
9/21/2021,21247094
9/22/2021,21283567
9/23/2021,21308178
9/24/2021,21327616
9/25/2021,21343304
9/26/2021,21351972
9/27/2021,21366395
9/28/2021,21381790
9/29/2021,21399546
9/30/2021,21427073
10/1/2021,21445651
10/2/2021,21459117
10/3/2021,21468121
10/4/2021,21478546
10/5/2021,21499074
10/6/2021,21517514
10/7/2021,21532558
10/8/2021,21550730
10/9/2021,21567181
10/10/2021,21575820
10/11/2021,21582738
10/12/2021,21590097
10/13/2021,21597949
10/14/2021,21612237
10/15/2021,21627476
10/16/2021,21638726
10/17/2021,21644464
10/18/2021,21651910
10/19/2021,21664879
10/20/2021,21680489
10/21/2021,21697341
10/22/2021,21711843
10/23/2021,21723559
10/24/2021,21729763
10/25/2021,21735560
10/26/2021,21748984
10/27/2021,21766168
10/28/2021,21781436
10/29/2021,21793401
10/30/2021,21804094
10/31/2021,21810855
11/1/2021,21814693
11/2/2021,21821124
11/3/2021,21835785
11/4/2021,21849137
11/5/2021,21862458
11/6/2021,21874324
11/7/2021,21880439
11/8/2021,21886077
11/9/2021,21897025
11/10/2021,21911382
11/11/2021,21926526
11/12/2021,21940950
11/13/2021,21953838
11/14/2021,21957967
11/15/2021,21960766
11/16/2021,21965684
11/17/2021,21977661
11/18/2021,21989962
11/19/2021,22003317
11/20/2021,22012150
11/21/2021,22017276
11/22/2021,22019870
11/23/2021,22038731
11/24/2021,22043417
11/25/2021,22055608
11/26/2021,22067630
11/27/2021,22076863
11/28/2021,22080906
11/29/2021,22084749
11/30/2021,22094459
12/1/2021,22105872
12/2/2021,22118782
12/3/2021,22129409
12/4/2021,22138247
12/5/2021,22143091
12/6/2021,22147476
12/7/2021,22157726
12/8/2021,22167781
12/9/2021,22177059
12/10/2021,22184824
12/11/2021,22188179
12/12/2021,22189867
12/13/2021,22191949
12/14/2021,22195775
12/15/2021,22201221
12/16/2021,22204941
12/17/2021,22209020
12/18/2021,22212343
12/19/2021,22213762
12/20/2021,22215856
12/21/2021,22219477
12/22/2021,22222928
12/23/2021,22226573
12/24/2021,22230737
12/25/2021,22234626
12/26/2021,22239436
12/27/2021,22246276
12/28/2021,22254706
12/29/2021,22263834
12/30/2021,22277239
12/31/2021,22287521
1/1/2022,22291507
1/2/2022,22293228
1/3/2022,22305078
1/4/2022,22323837
1/5/2022,22351104
1/6/2022,22395322
1/7/2022,22450222
1/8/2022,22499525
1/9/2022,22523907
1/10/2022,22558695
1/11/2022,22630142
1/12/2022,22718606
1/13/2022,22815827
1/14/2022,22927203
1/15/2022,22975723
1/16/2022,23006952
1/17/2022,23083297
1/18/2022,23215551
1/19/2022,23420861
1/20/2022,23588921
1/21/2022,23757741
1/22/2022,23960207
1/23/2022,24044437
1/24/2022,24134946
1/25/2022,24334072
1/26/2022,24553950
1/27/2022,24782922
1/28/2022,25040161
1/29/2022,25247477
1/30/2022,25351489
1/31/2022,25454105
2/1/2022,25625133
2/2/2022,25813685
2/3/2022,26099735
2/4/2022,26319033
2/5/2022,26473273
2/6/2022,26536597
2/7/2022,26605137
2/8/2022,26776620
2/9/2022,26960153
2/10/2022,27125512
2/11/2022,27291515
2/12/2022,27425743
2/13/2022,27483031
2/14/2022,27541131
2/15/2022,27664958
2/16/2022,27812210
2/17/2022,27941476
2/18/2022,28064224
2/19/2022,28167587
2/20/2022,28208212
2/21/2022,28250591
2/22/2022,28351876
2/23/2022,28485502
2/24/2022,28580995
2/25/2022,28671194
2/26/2022,28744050
2/27/2022,28768104
2/28/2022,28787620
3/1/2022,28811165
3/2/2022,28842160
3/3/2022,28906214
3/4/2022,28974315
3/5/2022,29033052
3/6/2022,29049013
3/7/2022,29069469
3/8/2022,29144964
3/9/2022,29194042
3/10/2022,29249903
3/11/2022,29305114
3/12/2022,29350379
3/13/2022,29368776
3/14/2022,29382196
3/15/2022,29432274
3/16/2022,29478039
3/17/2022,29527640
3/18/2022,29576397
3/19/2022,29617266
3/20/2022,29630484
3/21/2022,29641848
3/22/2022,29683686
3/23/2022,29729991
3/24/2022,29767681
3/25/2022,29802257
3/26/2022,29832179
3/27/2022,29842418
